Versailles Chantiers,2.136150,48.795350
Versailles Rive Gauche,2.129080,48.800210
Vert Galant,2.566760,48.944240
Victor Hugo,2.285260,48.869910
Vigneux sur Seine,2.414410,48.708470
Villejuif Leo Lagrange,2.363790,48.804640
Villejuif Louis Aragon,2.367110,48.787050
Villejuif Paul Vaillant Couturier,2.368090,48.796520
Villeneuve le Roi,2.426350,48.739860
Villeneuve Pairie,2.434500,48.766360
Villeneuve St Georges,2.446260,48.728880
Villeneuve Triage,2.438100,48.745360
Villeparisis Mitry le Neuf,2.602180,48.952960
Villepinte,2.512380,48.963150
Villiers,2.315820,48.881450
Villiers le Bel Gonesse Amouville,2.416640,48.993970
Villiers sur Marne le Plessis Trevise,2.541740,48.822970
Vincennes,2.433540,48.847320
Viroflay Rive Gauche,2.171350,48.800670
Viry Chatillon,2.386640,48.676260
Vitry sur Seine,2.402660,48.800850
Volontaires,2.308130,48.841600
Voltaire,2.380340,48.857980
Wagram,2.303670,48.884280
Yerres,2.483660,48.706540
Epinay Villetaneuse,2.32827,48.95828
Deuil Montmagny,2.337936,48.975743
Groslay,2.353718,48.984485
Sarcelles Saint-Brice,2.368653,48.995721
Ecouen Ezanville,2.36298,49.0227
Domont,2.33753,49.032738
Bouffemont Moisselles,2.322802,49.045276
Montsoult Maffliers,2.322854,49.066209
Villaines,2.350966,49.079542
Belloy Saint-Martin,2.360857,49.09778
Viarmes,2.368421,49.11682
Seugy,2.398838,49.119
Luzarches,2.420477,49.117263
Presles Courcelles,2.287794,49.113492
Nointel Mours,2.280515,49.132543
La Barre Ormesson,2.316441,48.966415
Enghien les Bains,2.30675,48.97294
Champ de courses d'Enghien,2.29158,48.979662
Ermont Halte,2.26344,48.98978
Gros Noyer Saint Prix,2.258864,48.99709
Saint Leu la Forêt,2.242471,49.015565
Vaucelles,2.230438,49.021274
Taverny,2.221415,49.02538
Bessancourt,2.209752,49.03576
Frepillon,2.196953,49.046527
Mery sur Oise,2.190827,49.057539
Meriel,2.205525,49.077846
Valmondois,2.202061,49.091652
L'Isle Adam Parmain,2.209859,49.114419
Champagne sur Oise,2.242185,49.135798
Persan Beaumont,2.279254,49.148291
Epluches,2.122222,49.054518
Pont Petit,2.130561,49.06037
Chaponval,2.141785,49.069349
Auvers sur Oise,2.175323,49.070508
Bruyeres sur Oise,2.326231,49.155241
Boran sur Oise,2.362595,49.166983
Precy sur Oise,2.376789,49.203427
Saint Leu d'Esserent,2.418005,49.214245
Creil,2.4692,49.2638
Rougemont - Chanteloup,2.515381,48.930835
Freinville - Sevran,2.519049,48.926726
L'Abbaye,2.516808,48.922265
Lycee Henri Sellier,2.515085,48.916
Gargan,2.51707,48.908307
Les Pavillons-sous-Bois,2.512038,48.902764
Allee de la Tour - Rendez-Vous,2.506521,48.897301
Les Coquetiers,2.499212,48.892481
Remise a Jorelle,2.488251,48.893039
